id,name,affiliation
A5053785006,Ananthapadmanabha Thammaiah,"Department of Electrical and Electronics Engineering, The National Institute of Engineering, Mysuru, India"
A5024534526,Andi Zhou,"Centre for Cyber Security and Privacy, School of Computer Science, University of Technology Sydney, Sydney, NSW, Australia"
A5032765727,Andrea Asperti,"Department of Informatics: Science and Engineering (DISI), University of Bologna, Mura Anteo Zamboni 7, Bologna, 40126, Italy"
A5051607028,Andrea Coletta,"J.P. Morgan AI Research, New York, NY, USA"
A5071347740,Andrea Grover,"College of Information Science & Technology, University of Nebraska at Omaha, Omaha, NE, 68182, USA"
A5026643759,Andreas Bender,"Department of Statistics, LMU Munich, Munich, Germany"
A5005346086,Andrej Perdih,"Theory Department, Laboratory for Computational Biochemistry and Drug Design, National Institute of Chemistry, Ljubljana, Slovenia"
A5080710876,Andrew C. Cullen,"School of Computer and Information Systems, University of Melbourne, Melbourne, Australia"
A5036729806,Andrew R. Leach,"Centre for Computing and Social Responsibility, De Montfort University, Leicester, UK"
A5053978668,André Freitas,"The University of Manchester, Manchester, UK"
A5074112387,Andrés Caro,"Departamento de Ingeniería de Sistemas Informáticos y Telemáticos, Universidad de Extremadura, Av/ Universidad S/N, 10003, Cáceres, Extremadura, Spain"
A5054957490,Aneesa Riaz,"Department of Mathematics, Division of Science and Technology, University of Education, Lahore, Pakistan"
A5055996958,Angel Ayala,"Escola Politécnica de Pernambuco, Universidade de Pernambuco, Recife, Brasil"
A5055403091,Angel Serrano Urdaneta,"CENTRUM Católica Graduate Business School, Lima, Peru"
A5075378943,Angeles Salles,"Institute of Neuroethics, Atlanta, GA, USA"
A5048265453,Angelo Marcelli,
A5050386762,Anh Tuan Luu,"School of Computer Science and Engineering, Nanyang Technological University, 50 Nanyang Avenue, Singapore, 639798, Singapore"
A5050386762,Anh Tuan Luu,"School of Computer Science and Engineering, Nanyang Technological University, Singapore, Singapore"
A5070182225,Anil Kumar Dsouza,"Department of Electrical and Electronics Engineering, The National Institute of Engineering, Mysuru, India"
A5032770006,Anis Yazidi,"Department of Computer Science, Oslo Metropolitan University, Oslo, Norway"
A5023004876,Anish Bhandarkar,"Computer Science and Engineering, KLE Technological University, Belagavi Campus, Belagavi, Karnataka, India"
A5012313832,Anju Choorakottayil Pushkaran,"College of Medicine and Health Sciences, Department of Biochemistry and Molecular Biology, United Arab Emirates University, P. O. Box: 15551, Al Ain, United Arab Emirates"
A5035829078,Ankush Manocha,"National Institute of Technology, Kurukshetra, Haryana, 136119, India"
A5053101991,Anna Cascarano,"Department de Matemàtiques i Informàtica, Universitat de Barcelona, Barcelona, Spain"
A5050670407,Anna Kruspe,"Data Science in Earth Observation, Technical University of Munich, Arcisstraße 21, 80333, Munich, Germany"
A5024395877,Anna Melman,"Department of Cyber-Physical Systems Information Security, HSE University, 11 Pokrovsky Bulvar, Moscow, Russia, 109028"
A5004203337,Anna V. Kononova,"Leiden Institute of Advanced Computer Science, Leiden University, Leiden, The Netherlands"
A5004203337,Anna V. Kononova,"LIACS, Leiden University, Niels Bohrweg 1, 2333 CA, Leiden, The Netherlands"
A5111830527,Annavarapu Chandra Sekhara Rao,"Department of Computer Science and Engineering, Indian Institute of Technology (ISM), Dhanbad, 826004, India"
A5010989991,Annie Wong,"Leiden Institute of Advanced Computer Science, Leiden University, Leiden, The Netherlands"
A5079577986,Anoop Kumar,"Gulati Institute of Finance and Taxation, Thiruvananthapuram, India"
A5085124830,Anqi Pan,"College of Information Science and Technology, Donghua University, Shanghai, China"
A5070824522,Anran Xiao,"Business School, Sichuan University, 610064, Chengdu, PR China"
A5042011218,Anthony C. Constantinou,"Bayesian Artificial Intelligence Research Lab, Risk and Information Management (RIM) Research Group, School of Electronic Engineering and Computer Science, Queen Mary University of London (QMUL), London, E1 4NS, UK"
A5057490206,Antonino Ferraro,"Department of Electrical Engineering and Information Technology (DIETI), University of Naples Federico II, Via Claudio 21, 80125, Naples, Italy"
A5003517792,Antonio Bandera,"Department of Electronic Technology, University of Malaga, Malaga, Spain"
A5069541151,Antonio Galli,"Department of Electrical Engineering and Information Technology (DIETI), University of Naples Federico II, Via Claudio 21, 80125, Naples, Italy"
A5063730649,Antonio Manjavacas,"Department of Computer Science and Artificial Intelligence, Universidad de Granada, 18071, Granada, Spain"
A5048376385,Antonio Parziale,
A5036048501,Antony Raj,"Department of English, School of Social Sciences and Languages, Vellore Institute of Technology, Vellore, Tamil Nadu, 632104, India"
A5062877879,António Correia,"INESC TEC and University of Trás-os-Montes e Alto Douro, UTAD, Quinta de Prados, Apartado 1013, Vila Real, Portugal"
A5024823282,António M. Lopes,"INEGI - Institute of Science and Innovation in Mechanical and Industrial Engineering, Porto, Portugal"
A5060160733,Anubha Parashar,"School of Computer Science and Engineering, Manipal University Jaipur, Jaipur, India"
A5083087081,Anuj Sharma,"Department of Computer Science and Applications, Panjab University, Chandigarh, India"
A5016339674,Anupam Bonkra,"Amity School of Engineering and Technology, Amity University Rajasthan, Kant Kalwar, Jaipur, Rajasthan, 303002, India"
A5093438742,Anushka Kamalja,"Information Technology, Ramrao Adik Institute of Technology, D. Y. Patil Deemed to be University, Sector-7, Nerul Navi Mumbai, Maharashtra, 400706, India"
A5088969327,Aouache Mustapha,"Division of Telecom (DT), Centre for Development of Advanced Technologies (CDTA), BP 17, Baba Hassen, 16303, Algiers, Algeria"
A5005760802,Apoorva Parashar,"Emerging Technology, Mahindra Integrated Business Solutions, Mumbai, India"
A5075411702,Apu Kumar Saha,"Department of Mathematics, National Institute of Technology Agartala, Agartala, Tripura, 799046, India"
A5086673948,Aqeel Labash,"Institute of Computer Science, University of Tartu, Tartu, Narva mnt 18, 51009, Tartu, Estonia"
A5059302775,Aqil M. Azmi,"Department of Computer Science, College of Computer & Information Sciences, King Saud University (KSU), Riyadh, Saudi Arabia"
