work_id,author_id,position
W4295926801,A5005258575,last
W4295926801,A5028923846,first
W4296020838,A5003623633,middle
W4296020838,A5044865157,last
W4296020838,A5078027106,first
W4296045111,A5049559317,first
W4296045111,A5057741133,last
W4296045111,A5102790255,middle
W4296045111,A5103004632,middle
W4296077725,A5067325797,middle
W4296077725,A5087773838,middle
W4296077725,A5100357677,middle
W4296077725,A5100707112,middle
W4296077725,A5100743646,first
W4296077725,A5103065463,last
W4296139711,A5059580063,last
W4296139711,A5068812101,middle
W4296139711,A5084209353,first
W4296186746,A5020773915,first
W4296186746,A5033373333,middle
W4296186746,A5045015575,last
W4296186746,A5101903837,middle
W4296297582,A5000944002,first
W4296297582,A5009371842,last
W4296297582,A5100340987,middle
W4296461299,A5060828204,middle
W4296461299,A5078821528,first
W4296461299,A5101752819,last
W4296636191,A5015643561,middle
W4296636191,A5053219262,last
W4296636191,A5075984586,middle
W4296636191,A5091284430,first
W4296636191,A5103770117,middle
W4296929390,A5089220020,middle
W4296929390,A5101671584,first
W4296929390,A5102970353,last
W4296935237,A5035048973,middle
W4296935237,A5044088814,first
W4296935237,A5100640128,last
W4297051238,A5044867921,last
W4297051238,A5078008156,first
W4297092710,A5011617797,first
W4297092710,A5023601116,middle
W4297092710,A5060690319,last
W4297227993,A5025657211,last
W4297227993,A5072285714,middle
W4297227993,A5103148381,first
W4297491563,A5000492455,first
W4297491563,A5006394687,middle
W4297491563,A5024412086,middle
W4297491563,A5044574416,middle
W4297491563,A5069123141,last
W4297548914,A5029008213,last
W4297548914,A5029334093,first
W4297548914,A5039096815,middle
W4297548914,A5055478558,middle
W4297826536,A5078766225,first
W4297826536,A5101763495,last
W4297903184,A5030469170,first
W4297903184,A5044593572,middle
W4297903184,A5046327670,middle
W4297903184,A5048665354,last
W4297903184,A5066780028,middle
W4298000417,A5082166723,first
W4298000417,A5104207368,last
W4298124436,A5057599587,last
W4298124436,A5079680116,first
W4300717046,A5041887867,first
W4300717046,A5100373625,middle
W4300717046,A5100444637,last
W4300717046,A5100676074,middle
W4300717046,A5101042096,middle
W4302288256,A5048088901,last
W4302288256,A5058388725,first
W4302288256,A5067611057,middle
W4302288256,A5076102993,middle
W4302775088,A5023822600,middle
W4302775088,A5025079159,middle
W4302775088,A5081933126,last
W4302775088,A5090052616,middle
W4302775088,A5100339921,middle
W4302775088,A5100458749,first
W4303415883,A5037945129,first
W4303415883,A5043720844,last
W4303579230,A5006293953,middle
W4303579230,A5022582952,middle
W4303579230,A5029191317,middle
W4303579230,A5037090300,middle
W4303579230,A5054029353,first
W4303579230,A5082046789,middle
W4303579230,A5100409306,last
W4303710087,A5010034247,middle
W4303710087,A5014306565,first
W4303710087,A5049525333,last
W4303710087,A5100626897,middle
